Date,Last Price,Volume,SMAVG (15)
4/8/2022,4488.28,566893248,616689536
4/7/2022,4500.21,633556800,720572608
4/6/2022,4481.15,707574528,722341568
4/5/2022,4525.12,616401856,728534208
4/4/2022,4582.64,571697472,736884224
4/1/2022,4545.86,681128640,746960576
3/31/2022,4530.41,828500672,743531968
3/30/2022,4602.45,550986432,731652224
3/29/2022,4631.6,593642496,747661248
3/28/2022,4575.52,522750144,769445632
3/25/2022,4543.06,513752320,793819712
3/24/2022,4520.16,537385664,809178560
3/23/2022,4456.24,594060992,819779584
3/22/2022,4511.61,656621824,829344256
3/21/2022,4461.18,675390400,842141376
3/18/2022,4463.12,2125139200,866233024
3/17/2022,4411.67,660090880,772123264
3/16/2022,4357.86,800463744,794186816
3/15/2022,4262.45,741652608,785203712
3/14/2022,4173.11,722842752,783707072
3/11/2022,4204.31,629698944,788251328
3/10/2022,4259.52,650304960,786272704
3/9/2022,4277.88,791121920,782415680
3/8/2022,4170.7,920407744,769492096
3/7/2022,4201.09,888361728,753805504
3/4/2022,4328.87,744135360,745236416
3/3/2022,4363.49,696400576,740012608
3/2/2022,4386.54,737531392,733857408
3/1/2022,4306.26,848578496,724917888
2/28/2022,4373.94,1036764864,708731136
2/25/2022,4384.65,713492672,684082368
2/24/2022,4288.7,991044160,683293888
2/23/2022,4225.5,665717440,668516608
2/22/2022,4304.76,719202688,670394880
2/18/2022,4348.87,791007296,687663488
2/17/2022,4380.26,600019328,684347840
2/16/2022,4475.01,592449856,695158720
2/15/2022,4471.07,597267584,711257792
2/14/2022,4401.67,685108736,726289152
2/11/2022,4418.64,759825856,750700416
2/10/2022,4504.08,665777792,762928448
2/9/2022,4587.18,604072896,760953920
2/8/2022,4521.54,603438592,763114944
2/7/2022,4483.87,605777600,773092160
2/4/2022,4500.53,667033024,775151232
2/3/2022,4477.44,701665536,769643328
2/2/2022,4589.38,769385280,758975744
2/1/2022,4546.54,693891136,746209152
1/31/2022,4515.55,978232000,748430976
1/28/2022,4431.85,741272704,725450432
1/27/2022,4326.51,762182336,717670912
1/26/2022,4349.93,833935680,715487808
1/25/2022,4356.45,822737792,706341952
1/24/2022,4410.13,1051278016,690584768
1/21/2022,4397.94,943246528,648693632
1/20/2022,4482.73,636160000,607912768
1/19/2022,4532.76,636487936,589902208
1/18/2022,4577.11,753096576,571254080
1/14/2022,4662.85,636663744,547359744
1/13/2022,4659.03,584414848,533799840
1/12/2022,4726.35,541651904,525270720
1/11/2022,4713.07,577885632,530503360
1/10/2022,4670.29,727218816,537393920
1/7/2022,4677.03,633523584,629343424
1/6/2022,4696.05,624580032,637437120
1/5/2022,4700.58,729435712,642309760
1/4/2022,4793.54,696748096,641692736
1/3/2022,4796.56,586380416,640284352
12/31/2021,4766.18,422911008,637455232
12/30/2021,4778.73,331532832,643381888
12/29/2021,4793.06,366001664,659574912
12/28/2021,4786.35,356766656,680885568
12/27/2021,4791.19,394681056,702996096
12/23/2021,4725.79,433265184,725407744
12/22/2021,4696.56,456478336,747848384
12/21/2021,4649.23,620141376,768041600
12/20/2021,4568.02,681243776,826331648
12/17/2021,4620.64,2106461568,826517056
12/16/2021,4668.67,754929152,721605952
12/15/2021,4709.85,697670016,705837568
12/14/2021,4634.09,720179712,696837056
12/13/2021,4668.97,675622208,691102144
12/10/2021,4712.02,543943488,691368000
12/9/2021,4667.45,511811264,691911744
12/8/2021,4701.21,574428672,691607616
12/7/2021,4686.75,685661376,686317440
12/6/2021,4591.67,688424640,673204544
12/3/2021,4538.43,730855424,658726208
12/2/2021,4577.1,769875008,638295872
12/1/2021,4513.04,759376576,623016064
11/30/2021,4567,1494491648,608096512
11/29/2021,4655.27,684025280,544479744
